text,label
「2018年を大事にしてきた」の茶色が出ています。まず今週のあなたなのですが、12月31日の、日付が2019年の1月1日に変わるまで「ちゃんと今年を終え、ちゃんと来年を迎えたい」という気持ちが強いです。それだけ、あなたにとって2018年って大切な年であり、その最後の瞬間までをちゃんとやりきりたいという気持ちがあります。今週も含めて2018年のあなたって「自分が信じたことを、自分らしいことをやりきる」という気持ちがありました。2019年に向けてちゃんと種を撒き続けてきた人もいらっしゃると思います。今のあなたって、他人からの「こうしたほうが良いよ」という声に乗りたくない気持ちがあります。それよりも、時間がない中でも、ちゃんと自分で考え、自分が納得できる形でやり遂げたい気持ちに支えられてきました。,aquarius
「祈る時間が大切に」という茶色が出ています。いきなりスピリチュアルなことを言いたいわけではなくて、今週の魚座は「地に足をつけたい」という感覚が強くなります。そして、あなたにとって「地に足をつける」というのが、「ひとりの時間を持って、このシンと静まり返った大気の中に“私は今後どうありたいか”を投げかける」という作業なのです。魚座の人って、誰かと一緒にいるときは「サービス用の自分」を前に出したりします。でも、何ていうか、あなたの本性ってもうちょっと、良い意味でエグいのです。誰かに言うとバカにされちゃうかもしれないから、自分の野心は隠しておくみたいな。だから、この2018年の終わりに、ぜひ自分の時間を持って「私はこうしていきたい」という祈りをしてみてください。,pisces
「はじめの一歩」の赤が出ています。新年が明けました。今年もよろしくお願いします。年が明けたときに、「何に頑張っていこうかな」と、そういう抱負とか目標がもうある程度ハッキリしている人も、まだもうちょっとぼんやりしている人もいらっしゃると思います。でも、今年の牡羊座の心の中には何となく「他人は他人。私は私」という感覚がすでに強くある感じなのです。あなたは2018年の「自分なりの一歩を、自分なりに何かを始めることを大切にしてきた」という感覚を引き継いで、2019年も「自分なりの新しい一歩を踏み出すこと」がとても大切になります。そして、その一歩からいろいろな世界にアクセスしていくことができるイメージを持ってください。最後まで目標をイメージするのではなくて、まず第一歩を踏み出してみること。,aries
「腰を据（す）えて」のシルバーが出ています。2019年になりました。今年もどうぞよろしくお願いいたします。それで、早速なのですが今週のあなたにお伝えしたいことが「腰を据えて」というメッセージなのです。この言葉って昔の言葉でもあって「何かを本格的に始めようとするときには、急いだり、慌てたり、早く答えを出していこうとするんじゃなくて“じっくり向き合っていく”気持ちを定める」みたいなことなのです。今年初めてのあなたへのアドバイスって、この2019年って、いろいろなことがいつの間にか変わっていきます。だからこそ、「じっくりやっていこうとする気持ち」をまず持ってほしいのです。すぐに変化が表れなくても、イライラしたりしないで大丈夫です。,taurus
「区切りの感覚」のシルバーが出ています。2019年になりました。今年もどうぞよろしくお願いいたします。何となくですが、2019年になったときに「ほっ」とした感覚を、双子座の多くの人は持ったかもしれません。どうしてかと言うと、2018年って、良い意味でも悪い意味でも「次の私がどうなるのかの予測がつかなかった」ところがあります。2018年って、「眠っていた私」が目を覚ましたところがあって、それだけ、理性で押さえられない本性の部分のあなたが「はい、無理です」「あなたは嫌いです」「それ、絶対やる！」とか、予測できない部分が駆けだしたところがありました。そして、それはやはり全体的には歓迎すべき事態だったのです。いつもの自分だったら決断できないようなことも決断させてくれたものだし。そして、年が明けて「区切り」があってちょっとほっとしています。,gemini
「自由なクソガキ」のゴールドが出ています。これは悪口ではありません。ちゃんと説明します。その前に2019年になりましたね。今年もどうぞよろしくお願いします。早速なのですが、今週のあなたは「いつの間にか、自分がやりたいことに向かって自由になっていってる」感覚が強くなっています。蟹座って、今までだったら「あ、もうちょっと羽を広げて空を飛ぼうとして良いですか。あ、バタバタ羽を動かしたら当たっちゃうかもしれませんね。すみません」って気をつかって「今の自分にできる限りの自由」をやっていたのですが、もう新年が明けてからのあなたって、割とあっけらかんと「え、私ってこうっすよ。自由最高！」と言って羽をバタバタ広げています。それでよし！　今年のはじめの時間を、周りを信頼して自由に振る舞う。あなたはちょっと「やかましい」と思われているぐらいのほうが魅力的です。,cancer
「やることが決まっている。思考実験を、現実世界に」のネイビーが出ています。2019年が明けました。今年もどうぞよろしくお願いします。早速なのですが、今週のあなたは「やるべきことが見えている状態」にあります。2018年って、あなたは本当にたくさんの「具体的な課題」にぶち当たっていった一年になったと思います。その課題に対して、一回りした自分として、いろいろな答えを出していくのがもうこの1月からのテーマになります。ただ、そんなにスタートダッシュは焦らないでほしくて、今の獅子座には「平和な時間」が必要です。お正月らしく、少しはダラダラしたり、お雑煮を食べたり、初詣に出掛けてイカ焼きとか綿あめを買ってみたり、そういうゆるりとした時間も大切にしてみてください。,leo
「手を抜きたくない」の紫色が出ています。2019年になりました。本年もどうぞよろしくお願いいたします。早速なのですが、今週のあなたのキーワードは「手を抜きたくない」になります。乙女座が仕事でも、対人関係でも、そして、プライベートのちょっとしたおもてなしでも、最大限に愛を込めているときの感覚が「手を抜きたくない」というものになります。これは「手を抜いて後悔したくない」というものではなくて、「私に与えられたこの出合いに、最大限のもてなしを持ってお返ししたい」という感覚を持つのです。年明け早々、あなたはそういう「自分の最大限を尽くして、報いていきたい」と思うチャンスにいろいろ恵まれます。だから、体調管理をしっかりとして、いろいろな楽しい本番に備えてください。,virgo
「あんまり深く考えちゃダメよ」のオレンジ色が出ています。2019年が始まりました。今年もどうぞよろしくお願いいたします。それで、早速なのですが、今週はじめのメッセージが「あんまり深く考えちゃダメ」になるのです。今の天秤座。自分が目指していきたい「可能性」や「理想」が見えています。だからこそ言います。今のあなたは「怖さ」を感じていて当たり前です。そして、「怖さ」って、具体的に「何かを目指している自分」を持ったときに見えてくるものなのです。「本当に私が目指して良いのか。できるのか」という不安とか怖さって、やっぱりどうしてもスタートするときにやってくる、最初の来客なのです。「あー、怖さがきたかぁ。まぁ、そうですよね」くらいの気持ちでいれば大丈夫です。,libra
「誘いに乗ったほうが良い」の黄色が出ています。新年が明けました。今年もどうぞよろしくお願いいたします。早速なのですが、今週のあなたは「できれば誘いに乗ってみてください」というのがアドバイスになります。この時期のあなたは「一緒に買い物に行かない？」「こういうこと興味あるならやってみない？」とか、そういうお誘いが多くなったりします。その「お誘い」って、改まってお願いされるというよりかは、何かの雑談をしていたら「そういえばさ」と、唐突に言われるようなイメージです。ですから、もし可能ならば、今週は誰かと会ってみたり、プラプラする時間を少し持ってみたりしてください。いきなり業務に本気モードになるのではなくて、可能なら少し寄り道を楽しんでみてください。,scorpio
「何かが始まる予感」の緑色が出ています。2019年、新年が明けました。今年もどうぞよろしくお願いします。そして、早速なのですが、今週のあなたは「会いたかった」というのがテーマになります。どういうことかと言うと、あなたや、あなたの周りにいる「不思議とあなたと縁がある人たち」って、2018年は仕事のこと、プライベートのこと、これからのこととか、そういうことをいろいろ話し合う、それぞれ考えていた「同志」みたいな人たちが多くなっていたのです。その人たちに久しぶりに会ったときに「あー、今年の私はこの人たちと一緒に何か大事なものを作っていくんだなぁ」と、何か急にもう「チームプレイ」が始まっているような印象を受けるのです。なので、もし時間があったらお正月から早速いろいろくだらないことから、真面目なことまで話し合う時間を持ってみても良いです。,sagittarius
「ゆっくり動かしていこう」の水色が出ています。まず、新年が明けまして、今年もどうぞよろしくお願いいたします。早速なのですが、今週の山羊座にアドバイスがあって「イメージで頭の上にお風呂場にある桶みたいなものを載せて、その水が入った桶をこぼさないようにゆっくりいろいろなことに動いていきましょう」ということ。何か拳法の修行みたいで恐縮なのですが、今のあなたはまだいろいろなことに「ビクッ」となって動いていく必要はないのです。ゆっくりと、自信を持って、自分のペースで大事なことを進めていく。そして、ちゃんと気晴らしもしていく。1月もいろいろ忙しい山羊座の人が多いのですが、「イメージで、頭の上の風呂桶の水をこぼさない」ってやると、自分のペースで行動できますよ。,capricorn
「追求したいものと、現実と」の茶色が出ています。2019年が始まりました。今年もどうぞよろしくお願いします。それで、早速なのですが、今週のあなたは新年が始まって早々「何かを現実的に選ぶタイミング」であることが多いです。「とりあえずこうする」とか、そういうことも含めて、自分が具体的に何かを選択し、その方向性に沿って頑張っていく筋道を決めていかなければいけない流れがあります。これってもうすでに2019年の水瓶座の兆候が始まっていて、2019年のあなたは「具体的に、選んでいく。決めていく」という流れが多くなります。「もうちょっと様子を見たい」とは100％はできないで「私はこれで行く！」と決めていくことが多くなるのです。,aquarius
「新しい肩書き」のオレンジ色が出ています。2019年になりましたね。今年もどうぞよろしくお願いいたします。早速今週のあなたなのですが、何となく「どこまで一般常識、そして、どこまで対人関係で付き合いを大事にしていけば良いのか」という感覚を持っていると思います。これは2018年から大きく続いている流れなのですが、あなたは何か、ここ数年「新しい価値を創るために自分の時間を使っていきたい」と思っていたりします。そういうことを堂々と言ってしまうとバカにされてしまうかもしれないけど、「人と違うことをしたい」「まだ今の自分が予測もできないような体験をしていきたい」って、あなたは心のどこかで真剣に願っているところがあるかもしれません。,pisces
「無駄を嫌う」の青が出ています。今のあなたは「自分が欲しているもの」や「周りの人の動き」などに対して、一歩後ろに下がって様子を見ているようなところがあります。牡羊座の人の面白いところって、「おおらかな自分」と「厳しく追及する自分」の2種類の自分がいるところ。普段だったら「あ、それでいいよ～」とか、おおらかに言ったりするのですが、今のあなたは「無駄なことをしたくない。口だけで約束を守ろうとしない人から自分を守りたい」という防衛システムが稼働しているような感じがあります。こういう状態のあなたは、勘がとても鋭い状態になっているので、ちょっと機嫌が悪くなっているときは注意してください。正直に、ズバッと言いすぎてしまうと場が凍りついてしまうようなことがあったりするから。「えー、そういうの無駄ですよね」という正直な意見も、言うべきか、流したほうが良いのかは、冷静になってみてくださいね。,aries
「やるべきことが見えている」の青が出ています。今のあなたは「メイン」と「サブ」と言えるような、ふたつの大きな「やるべきことがある」状態です。たとえば、メインについては「今年は始まったばかりだけど、私は早いうちにこういう結果を出していきたいから、1月はこういう動きをしよう」とか、自分の未来への筋道に対してイメージができている状態です。そのまま自分のペースで進んでいってください。そして、サブの目標などについては、これは「部屋を少し片づける」とか、「自分の生活が清々しくなる」などそういう自分だけの幸せ感のためにやることです。「人と会うより、アニメの時間を大切にしたい」とか、そういうことで大丈夫です。慌てず、緊張せずに、自分のペースでやっていってください。,taurus
「掃除的」の水色が出ています。試験のとき、難しい問題に当たったら、まずその問題を解くために時間を割くのではなくて、周辺の解けそうな問題を解いて勢いをつけるという話があったりします。今週のあなたはそういう時期で、「片づけられるところから片づけて、自信や勢いをつけていく」というのが良いです。具体的にどういう作業をしたほうが良いかと言うと、いらなくなったものを捨てたり、掃除をしたり、後は、捨てられる紙に「今のしたいことリスト」を書いたりするのが良いと思います。どうしてかというと、今週に関してはまだもうちょっとだけ「勢いをつけていく週」にしておいても良いかもしれないのです。今のあなたには難問題をやり遂げる実力はあります。でも、もうちょっと自分に勢いをつけるとすごく良い時期なのです。ネットで欲しいものを見て、その欲しいものを買ったら生活がどうなるかとか、そういうことをイタズラ書きみたいに紙に書いても良いと思います。,gemini
「自分のやりたい理想か。それとも現実か」の赤が出ています。今の蟹座って「理想に合わせた、地ならし」のような作業が必要になっています。蟹座の人って、元々持っている性質としては「慎重さ」もかなり強くあります。他人に「あなたはどういうことをやりたいの？」と言われて「まぁ、皆さんの足を引っ張らないように頑張ります」と謙虚に言っている影で、猛然と準備に勤しむのが蟹座だったりします。それで、ある程度自分の準備に対して展望が見え始めてきたときに「一気に加速する」ことをします。そのときはもうイケイケで、むしろそういうときに「慎重になったほうがいいよ」と言われると「とことんいこうぜ。邪魔するものはぶった切る」って言ってやりたくなります。,cancer
「本気の取り組み」のシルバーが出ています。2019年が始まってまだわずかなのですが、早くもここで本気モードを稼働させていく獅子座が多いです。今のあなたが抱えているキーワードって「夢中と不安」なのです。それは決してネガティブなことじゃなくて「ちゃんと後で楽をするために、今は手をゆるめられない」と感じていて、面倒くさいことがあっても手を抜かずに真正面から当たっていくような1週間を過ごしていきます。ひとつお伝えしたいのは、今、不安が多かったり、イライラが多くなったりしても、それだけあなたは今過酷なレースの最終にいるし、そこでちゃんと本気を出し切りたいと思っています。だからこそ、多少のピリピリ感は出てしまってもしょうがないところがあり、改善策としては「ご褒美ごはん」とか「ご褒美おやつ」などは、少量で構わないので食べてみてください。,leo
「意外とそこまで難しくない」の紫色が出ています。今のあなたって「小学校の頃、冬にあった体育のマラソンの授業」の感覚と似ています。マラソンなどの長距離走って、走る前まで、「わー、面倒くさいなぁ」と思ってしまうのですが、走り始めると意外と「あ、もしかしていける？」と思うようなポイントがあったりします。まさに今はそういうモードで、今やろうとしていることって、あなたが思っているよりはそんなに難しくならないですし、スムーズにいくことのほうが多いです。ただ、長距離走と同じように、ある程度は集中して対応する時間が長くなるので、途中途中の「休憩ポイント」はご自分で入れておいてください。「この日はあのお店であんみつ食べる」などですね。,virgo
「溜めない方針で」の水色が出ています。今週、あなたが手掛けるいろいろなことがスムーズに動き出していきます。今のあなたの良いところって、「適度な意思の強さ」を持っていることなのです。人間って弱っているときは「これやったらどう思われるだろう」とか、やってみてあまり反応が良くなかったらテンションが落ちたりしちゃうのですが、今のあなたは「まぁ、私がやってみたいから」とか「多分、うまくいく気がする」と前向きの姿勢を持っているのです。自分の調子が良くて、結果を出す時って、「適度に周りを無視することができる」ときなのです。全部を無視して突っ切るわけじゃなくて、自分とあまり関係のない外野を無視することができるみたいな。今週は自分のペースでやってみてください。,libra
「育てる意識」の緑色が出ています。今週の蠍座は「育てる意識」を持つことに、すごくラッキーの兆しがあります。お仕事においても、プライベートにおいても、蠍座の人生が動く瞬間って「あ、この人（この場所とか組織とかも）を育てたいな。一緒に成長していきたいな」と感じるときだったりします。蠍座って、普段はもっと関係性に対して「相手に迷惑を掛けてはいけない」とか、「楽しそうだけど、私はあれに興味がない」と、もっとハッキリ言いきったりします。でも、今のあなたって「何かもうちょっと向き合って、お互いに良い成長ができたら」と思えるような対象の人や、お仕事などに恵まれていきます。今週は人を気にかけてあげたり、エールを送ったり、送られたりすることに縁があります。,scorpio
「調整から実行へ」のエメラルドが出ています。今週の射手座はいろいろ「実行期」に当たっています。言うならば、あなたが本来持っている「一匹狼性」を取り戻していくとき。先週までの射手座って、自分だけのことを考えるわけではなくて、周りの人といろいろな方向性について調整したり、準備期間中であったことが多いです。特に、最近のあなたって「周りの人のおかげで私が存在してられるんだよなぁ」と、周りの人に対して特に強い感謝の気持ちだったり、「私はこの人の影響を受けている」などと強く感じたりすることが多かったと思います。でも、今週からは、「私は私でやるよ」という、強い意志を持っていきます。,sagittarius
「自分と向き合う」のピンク色が出ています。これは去年からの流れなのですが、これまでの山羊座って「いろいろと、動きが速いなぁ」と思うのが普通だったりします。それだけ、2018年からあなたをちゃんと巻き込む形で、あなたの周りにはいろいろなことが起きています。ですから、今のあなたって、「これは良いことなのか」「ちゃんと考えたほうがいいのか」と、ゆっくりと処理できずに、「とにかく目の前に起きる出来事に誠意を持って対応していくしかない」という、“速い流れ”があるほうが自然なのです。でも、2019年に入ってからは、そのいろいろな出来事に対して「私なりの答え」が出始めます。今週もまさにそんな時期で、「いったんひとりの時間を持って、自分の考えを整理していく」のにすごく良いのです。,capricorn
「人に心を開いている」のエメラルドが出ています。今週、対人関係についていろいろな「雪解け」がありそうで、「この人は苦手かも」と思っていた人と意外と打ち解けあったりする機会が多くありそうです。今の水瓶座って、自分の周囲にあるバリアが良い意味で薄くなってきています。水瓶座の人って、意識していないところにおいても「私はここまでやりたい」という意地と、こだわりが強いところがあります。でも、今のあなたって、これもまた良い意味なのですが「少しいろいろな物事に流されてみてもいいかもしれない。何かそこに抵抗を覚えたら、その場その場でまた疑問をぶつけてみてもいいのだから」と、そういう心に余裕を持った状態で、良い形で流れに乗ろうとしています。,aquarius
「機械的に考える」の青が出ています。今週の魚座ってかなり良い巡り合わせがあるような時期で、大げさに聞こえるかもしれないのですが「今、いろいろ思索して、実行していくことは後々大きな成果となって返ってくる」ような時期です。そんなあなたのためにアドバイスをさせてもらいたいところがあって、それは「機械的に考える」です。普通、人の思考には「楽観」とか「不安」を含む、感情が伴うのが普通なのです。たとえば、「隣のクラスの〇〇君カッコイイけど、好きな人いるんだろうな」とかですね。でも、今の魚座って、もうちょっと感情を脇にどけて「では、隣のクラスの〇〇君がどういう話になら乗ってくるか、ちょっと私なりに調査してみよう」とか、そういう活動をしてほしいのです。,pisces
「一線を越えてみて」のゴールドが出ています。いきなり変なことを言うようなのですが、今週はあなたの意識の中で「私は今の自分の一線を越えてみる」とつぶやいてほしいのです。これは別に不道徳のすすめをしたいわけではありません。2019年のあなたにはすごく特有なのですが、今週のように「準備してきたことを、発表していくタイミング」がけっこう多く訪れるのです。その「準備」って「この一カ月間」とかそういう短い期間ではなくて、人によっては2年以上準備してきたり、コツコツ努力してきたことが試されるような期間。「試される期間」と言ってもそこまでプレッシャーを背負う必要はなくてですね、「あー、出す時が来たんだ」という感覚を持ってみてください。「よく頑張ってきたね。私」と、自分をいたわってあげることも忘れずに。,aries
「チャンスのために」のエメラルドが出ています。今週、ちょっと変なキーワードになるのですが「事務、地味、義務」を大事にしてみてほしいのです。今のあなたって、「足元」の方に大事なことがあったりします。もちろん、先に向かって「こういうことができていったら楽しいなぁ」と想像することも大切なのですが、地道にいろいろなことを調べたり、「基本を忘れないように」やっていくことで確実に幸運を招いていきます。ちょっと変に聞こえるかもしれないのですが、今週は「面倒くさいな」と思う事柄を淡々とやっていくことによって、楽しむ時に一気に飛躍していくようなイメージがあるのです。だから、「あ、これはちょっと面倒くさいですね」と思ったら、「面倒くさいことを今週は消化しちゃった方が良いんだ」と思ってみてください。,taurus
「勝負所」のネイビーが出ています。いきなりなのですが、僕は自分の占いのやり方として、読んでくださる方に必要以上のプレッシャーを感じさせないように気をつけています。でも、今週の双子座に関しては少し過激な言い方になることをお許しください。今の双子座。不安や心配は脇に置いといてください。そして「やってやるよ」と言ってみてください。それだけなのです。どういうことなのかと言うと、今のあなたは自分の持つ力を発揮しています。それでも、「計画通りにいかないところ」だったりとか「期待していたあの人が〇〇してくれなかった」とか、そういう“糸のほつれ”みたいなものが起きてきたりしている人もいたりします。そこに、必要以上に動揺しないこと。計画通りに行かなくても大丈夫だから！　あなたがやろうとしていることは変わらないから！　だから、己の心だけを見てください。それが真っすぐだったらOKです。,gemini
「ただ愛のために」のピンク色が出ています。蟹座ってすごく不思議なのですが、突然「私、あなた（達）の力になりたいんだよね」と、自分の持っている力のほとんどすべてを周りにいる人の人生をサポートするために使ったりします。何か、自分のこと以上に「自分が好感を持っている人の人生が輝いてくれるのがうれしい」と、めちゃくちゃな気前の良さを出すときがあるのです。物語によく出てくる「ここは俺のおごりだ。みんな、食べちゃって」と言っちゃう定食屋の親父みたいになっているのです。今週のあなたはまさにそういう感じで「私は今、周囲のために一肌脱ぐ！」という感じが強く出ています。そして、それこそが今のあなたが持つ「愛の力」だと思ってほしいのです。,cancer
「ひとりインタビュー」の黄色が出ています。獅子座の人には不思議なところがあり、それは「自分が生活する上で、あまり他人に干渉されたくない聖域」があるのです。これは主に仕事面で発揮されることが多いのですが、獅子座って、自分がやっていることの情報をそれほど公開しません。もちろん、獅子座の人は「自分がやるべきことに没頭しすぎているからこそ、いちいち自分がやっていることを他人に説明している余裕や時間がない」ということになったりするのですが、その心理の裏側には「他人にあんまり干渉されたくない」という気持ちもあったりします。他人の手助けをしたり、サポートをすることは得意だったりするのですが、自分のことで他人に助けを得るにはどうしたらよいのかって、けっこう、獅子座の永遠の課題であったりもします。,leo
「楽しいチャンス」の黄色が出ています。まず今週の乙女座にお伝えしたいことは「やってきたことを信じて先に進めば大丈夫」ということなのです。今、「あー、これもやっておけば良かった」とか「ここは時間かかりそうだな」と、心配している部分が出てきている方もいらっしゃると思うのですが、それだけ今のあなたは今直接「未来に向かっての資材を組み立てている」最中だからです。ですから、アドバイスとして「今、楽しい悩みもちゃんと持ってみて」ほしいのです。「夏休みどこ行こうかなぁ」とか「今年はどういうことをしようかなぁ」です。そして、その「楽しい計画」は「〇〇が達成されたら」とか「私が自分のことに不安がなくなったら」と、そういう難しい条件設定をしないで「今年はひとりで途中下車旅をするぞ」とか、そういう気軽にできることをやってみてほしいのです。,virgo
「スピード感が要求されている」の白が出ています。今週のあなたは「先に進んでいくために、いろいろな整理作業が必要」という周期にいます。なので、早速アドバイスなのですが、今週は「あー、はいはいはい」を口癖にしてみてほしいのです。この台詞って、たとえば「このお皿片してもらっても良い？」と言われたときに「あー、はいはいはい。今、片づける」と、すぐに行動するときに使うニュアンスです。あんまり深く考えるのではなくて、「迅速に片づけていく」という行動が、今週はすごく良いのです。この時に「私ばっかり」とか、そういう「負の感情の奥のほうまで」行く必要はないですからね。そういう感情が出てきている人は疲れが溜まってきているときなので、そういうときこそ「大好きなお寿司を食べているときだけ、ネガティブなことは考えずに、お寿司のおいしさだけに没頭しよう」みたいな感覚を持ってみてください。,libra
「人にどう思われるかよりも、自分の感情を。自分の感動を」のオレンジ色が出ています。暑苦しいキーワードになってしまっているのですが、今のあなたはちゃんと「自分優先」を貫いていくべきです。最近の蠍座が陥りやすい罠があって、それが「考えすぎてしまう」ということなのです。これは別にあなたに対して失礼な言いがかりをつけたいわけではないのです。今のあなたは、「うまくまとめよう」とは思わなくても大丈夫です。あなたは「自分がやった以上、言った以上、ちゃんと責任取ってまとめなくてはいけない」という考えを抱いてしまうかもしれないのです。だけど、今のあなたの役割は「声を出して、始める係」です。これは別に周りを巻き込んでも、あなただけが「今日を楽しもう」と言う形での発言でも構わないです。,scorpio
